0,1,2,3
453667100002,FRONTIERS IN BEHAVIORAL NEUROSCIENCE,Neuroanatomy- and Pathology-Based Functional Examinations of Experimental Stroke in Rats: Development and Validation of a New Behavioral Scoring System,"In experimental stroke studies, a neuroanatomy-based functional examination of behaviors is critical to predict the pathological extent of infarcts because brain-imaging studies are not always available. However, there is a lack of systematic studies to examine the efficiency of a behavioral test for this purpose. Our work aimed to design a new score for this goal in stroke rats, by simplifying the Garcia score (with subscore 1-6) and adding circling as subscore 7. MRI and 2,3,5-triphenyltetrazolium chloride staining were used to determine the pathological extent after transient middle cerebral artery occlusion. The modified summations of subscores were designed according to the predictability of each subscore for locations and sizes of infarcts in one group of stroke rats, and were validated in another group. The original Garcia score was able to predict the pathological extent of edema-adjusted infarct size >= 30%, and the summation of subscore 4, 6, and 7 (4: climbing, 6: vibrissae sensation, 7: circling) also could predict it well. The original Garcia score failed to predict infarct at the primary motor cortex, while the summation of subscore 4, 6, and 7 potentially could predict not only the primary motor cortex, but also the forelimb, hindlimb, and barrel field regions of the primary sensory cortex. Accordingly, this neuroanatomy-correlated functional assessment system composed of subscore 4, 6, and 7 was proposed, with less examination time and better inter-rater reliability than the original Garcia score. In summary, this new scoring system, summation (4,6,7) score, examined motor and sensory functions based on neuroanatomical involvement, having the potential to predict the pathological extent and specific relevant brain areas of infarcts, respectively."
422912100061,SCIENTIFIC REPORTS,Large room-temperature tunneling anisotropic magnetoresistance and electroresistance in single ferromagnet/Nb:SrTiO3 Schottky devices,"There is a large effort in research and development to realize electronic devices capable of storing information in new ways - for instance devices which simultaneously exhibit electro and magnetoresistance. However it remains a challenge to create devices in which both effects coexist. In this work we show that the well-known electroresistance in noble metal-Nb:SrTiO3 Schottky junctions can be augmented by a magnetoresistance effect in the same junction. This is realized by replacing the noble metal electrode with ferromagnetic Co. This magnetoresistance manifests as a room temperature tunneling anisotropic magnetoresistance (TAMR). The maximum room temperature TAMR (1.6%) is significantly larger and robuster with bias than observed earlier, not using Nb:SrTiO3. In a different set of devices, a thin amorphous AlOx interlayer inserted between Co and Nb:SrTiO3, reduces the TAMR by more than 2 orders of magnitude. This points to the importance of intimate contact between the Co and Nb:SrTiO3 for the TAMR effect. This is explained by electric field enhanced spin-orbit coupling of the interfacial Co layer in contact with Nb:SrTiO3. We propose that the large TAMR likely has its origin in the 3d orbital derived conduction band and large relative permittivity of Nb:SrTiO3 and discuss ways to further enhance the TAMR."
418984700005,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,On reliable communication in transmit-only networks for home automation,"Home-automation applications such as intelligent illumination, heating, and ventilation allow reducing the overall energy consumption and improve comfort in our everyday lives. To implement such applications, multiple sensors and actuators often need to be connected into networks typically communicating over radio signals, i.e., wireless sensor networks (WSNs). Many available technologies are based on bidirectional devices with the capability of acknowledging packets and performing retransmissions if necessary. However, home-automation devices mostly report data to a sink for which they do not need any feedback channel or external control, thus, unidirectional devices can be used instead reducing costs and energy consumption. On the other hand, since unidirectional nodes are unable to perform carrier sensing or acknowledge packets, the resulting networks are often unreliable. To overcome this problem, we propose a medium access control (MAC) that consists in making each transmit-only node send a sequence of redundant packets. The proposed method guarantees reliability, i.e., at least one packet of each sequence reaches its destination within a specified deadline by carefully selecting inter-packet times. In contrast to similar approaches from the literature, our MAC is based on a more general model that allows describing arbitrary deadlines and packet sizes for each node in the network and can accommodate considerably more nodes into a reliable network as the ratio between the longest and the shortest deadline increases. We illustrate these and other benefits of the proposed MAC by means of extensive simulations based on the OMNeT++ framework."
454972000165,TRANSPLANTATION PROCEEDINGS,Successful Treatment of the Gastrointestinal Manifestation of Prototheca in a Kidney Transplant Recipient: A Case Report,"Introduction. The Prototheca species are achlorophyllic algae and they are recognized pathogens in animals. They have been reported to cause infections in humans; the majority of the infected patients are immunocompromised. Organ transplant recipients are at risk of infection caused by such unusual organisms. The case. Here we present a highly atypical case report of Prototheca mimicking a cecum tumor in a kidney recipient 7 years after the transplantation. Three years before this Prototheca infection, after a native nephrectomy, the patient underwent a complicated duodeno-jejunal reconstruction with feeding catheter jejunostomy. Imaging studies indicated a tumor-like space occupying lesion in the cecum. The patient was treated successfully with colon resection. Detailed histology excluded malignancy and proved Prototheca wickerhamii. Discussion. The pathogenesis and many biological aspects of human protothecosis are unclear. Usually, treatment involves both medical and surgical approaches. The surgical treatment should be complete excision. The literature suggests an extremely high mortality rate, and therefore we advocate aggressive surgery in organ transplant recipients. This case is the first report of a successfully treated gastrointestinal manifestation of protothecosis in an organ transplant recipient."
423238700001,MEMOIRS OF THE AMERICAN MATHEMATICAL SOCIETY,Tensor Products and Regularity Properties of Cuntz Semigroups,"The Cuntz semigroup of a C*-algebra is an important invariant in the structure and classification theory of C*-algebras. It captures more information than K-theory but is often more delicate to handle. We systematically study the lattice and category theoretic aspects of Cuntz semigroups. Given a C*-algebra A, its (concrete) Cuntz semigroup Cu(A) is an object in the category Cu of (abstract) Cuntz semigroups, as introduced by Coward, Elliott and Ivanescu (2008). To clarify the distinction between concrete and abstract Cuntz semigroups, we will call the latter Cu-semigroups. We establish the existence of tensor products in the category Cu and study the basic properties of this construction. We show that Cu is a symmetric, monoidal category and relate Cu(A circle times B) with Cu(A) circle times(Cu) Cu(B) for certain classes of C*-algebras. As a main tool for our approach we introduce the category W of pre-completed Cuntz semigroups. We show that Cu is a full, reflective subcategory of W. One can then easily deduce properties of Cu from respective properties of W, for example the existence of tensor products and inductive limits. The advantage is that constructions in W are much easier since the objects are purely algebraic. For every (local) C*-algebra A, the classical Cuntz semigroup W(A) together with a natural auxiliary relation is an object of W. This defines a functor from C*-algebras to W which preserves inductive limits. We deduce that the assignment A -> Cu(A) defines a functor from C*-algebras to Cu which preserves inductive limits. This generalizes a result from Coward, Elliott, and Ivanescu (2008). We also develop a theory of Cu-semirings and their semimodules. The Cuntz semigroup of a strongly self-absorbing C*-algebra has a natural product giving it the structure of a Cu-semiring. For C*-algebras, it is an important regularity property to tensorially absorb a strongly self-absorbing C*-algebra. Accordingly, it is of particular interest to analyse the tensor products of Cu-semigroups with the Cu-semiring of a strongly self-absorbing C*-algebra. This leads us to define 'solid' Cu-semirings (adopting the terminology from solid rings), as those Cu-semirings S for which the product induces an isomorphism between S circle times(Cu) S and S. This can be considered as an analog of being strongly self-absorbing for Cu-semirings. As it turns out, if a strongly self-absorbing C*-algebra satisfies the UCT, then its Cu-semiring is solid. We prove a classification theorem for solid Cu-semirings. This raises the question of whether the Cuntz semiring of every strongly self-absorbing C*-algebra is solid. If R is a solid Cu-semiring, then a Cu-semigroup S is a semimodule over R if and only if R circle times(Cu) S is isomorphic to S. Thus, analogous to the case for C*-algebras, we can think of semimodules over R as Cu-semigroups that tensorially absorb R. We give explicit characterizations when a Cu-semigroup is such a semimodule for the cases that R is the Cu-semiring of a strongly self-absorbing C*-algebra satisfying the UCT. For instance, we show that a Cu-semigroup S tensorially absorbs the Cu-semiring of the Jiang-Su algebra if and only if S is almost unperforated and almost divisible, thus establishing a semigroup version of the Toms-Winter conjecture."
442390400018,JOURNAL OF PEDIATRICS,Transition Home Plus Program Reduces Medicaid Spending and Health Care Use for High-Risk Infants Admitted to the Neonatal Intensive Care Unit for 5 or More Days,"Objective To evaluate the effects of a transition home intervention on total Medicaid spending, emergency department visits, and unplanned readmissions for preterm infants born at <= 36(6/7) weeks gestation and high-risk full-term infants. Study design The Transition Home Plus (THP) program incorporated enhanced support services before and after discharge from the neonatal intensive care unit (NICU) provided by social workers and family resource specialists (trained peers) working with the medical team from October 2012 to October 2014. Rhode Island Medicaid claims data were used to study the 321 infants cared for in the NICU for >= 5 days, who were enrolled in the THP program. THP infants were compared with a historical comparison group of 365 high-risk infants born and admitted to the same NICU in 2011 before the full launch of the THP program. Intervention and comparison group outcomes were compared in the eight 3-month quarters after the infant's birth. Propensity score weights were applied in regression models to balance demographic characteristics between groups. Results Infants in the intervention group had significantly lower total Medicaid spending, fewer emergency department visits, and fewer readmissions than the comparison group. Medicaid spending savings for the intervention group were $4591 per infant per quarter in our study period. Conclusions Transition home support services for high-risk infants provided both in the NICU and for 90 days after discharge by social workers and family resource specialists working with the medical team can reduce Medicaid spending and health care use."
449125200008,COMPUTERS AND GEOTECHNICS,Influence of stress induced microcracks on the tensile fracture behavior of rocks,"The study characterizes the influence of preferentially oriented microcracks on the tensile fracture behavior of rocks by means of a discrete modeling approach. A series of numerical experiments is performed so as to systematically evaluate the emergent properties of media containing microcracks swarms with predefined intensities and orientations. Emphasis is put on the apparent Young's modulus, tensile strength and fracture toughness. Microcracks swarms reduce the strength of materials, affect their overall brittleness and induce anisotropic behavior. They also directly influence the initiation and propagation of mode I fractures which can deviate from their expected path as a result of branching."
451930300012,CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY,Palliative Percutaneous Cryoablation and Cementoplasty of Acetabular Metastases: Factors Affecting Pain Control and Fracture Risk,"PurposeTo characterize the response of patients with acetabular metastases following combined cryoablation and cementoplasty (CCC) for pain palliation and fracture risk reduction, based on completeness of ablation and the presence of pre-existing pathologic fracture.Materials and MethodsThirty-nine consecutive acetabular CCC procedures were performed in 37 patients (24M:13F, age 668years). Pain was assessed using a 0-10 numeric rating scale. Development of new or progression of pre-existing fractures and local tumor progression (LTP) were determined on follow-up imaging. Pain score reduction and fracture development rates were compared by ablation completeness and the presence of pre-existing fractures.ResultsTwenty-three of 27 (85%) patients with evaluable pain scores had reduced pain, decreasing from 7.5 +/- 2.1 to 3.6 +/- 2.6 (p<0.0001). Of 39 tumors, 28 (72%) were completely ablated with no significant difference in pain reduction after complete versus incomplete ablations (p=0.9387). Six of 30 (20%) patients with follow-up imaging demonstrated new/progressive acetabular fractures. Four of 5 (80%) patients with LTP developed new/progressive fractures compared to 2 of 25 (8%) without tumor progression (p=0.0003). Pre-existing fracture was not associated with subsequent fracture/fracture progression (p=0.2986). However, patients with prior acetabular radiation therapy or surgery had increased fractures following treatment (p=0.0380).Conclusion Complete acetabular tumor ablation during CCC was not associated with superior pain relief compared to subtotal ablation but did result in improved fracture stabilization. Pre-treatment pathologic fractures were not associated with fracture progression, but new/progressive fractures were more frequent in patients with prior radiation therapy or surgery."
426412000014,ENERGY CONVERSION AND MANAGEMENT,"Synergestic effect in the steam co-gasification of olive pomace, coal and petcoke: Thermogravimetric-mass spectrometric analysis","A comparison of the gasification performance of olive pomace, coal, petcoke and their binary and ternary blends was carried out by means of TGA (thermogravimetric analysis) coupled with mass spectrometry (MS). The thermochemical behavior of the raw materials was a function of their composition and inorganic content. Olive pomace had a low ash content, a high volatile content and a low moisture. Moreover, olive pomace presented the highest reactivity. On the other hand, olive pomace presented the highest H-2, CO, CO2, CH4 and NO emissions, while the highest SO2 release was obtained with petcoke, showing the output stream coming from the gasification of coal the highest H-2/CO ratio. The presence of olive pomace in the blends improved their reactivity, increased the H-2 release and the H-2/CO ratio, and decreased the CO yield. A synergistic effect was observed in the gasification of the binary blend of olive pomace and petcoke. On the contrary, the gasification of the binary blend of olive pomace and coal presented an antagonistic effect. In ternary blends, either ssynergistic or antagonistic effects were observed, which depended on raw materials ratios in the feed. Finally, the lower the olive pomace ratio in the blends, the higher the porosity of the remaining residue was."
427420100028,IEEE TRANSACTIONS ON NETWORK AND SERVICE MANAGEMENT,Efficient Action Computation for Compositional SDN Policies,"Software-defined networking envisions the support of multiple applications collaboratively operating on the same traffic. Policies of applications therefore require composition into a rule list that represents the union of application intents. In this context, ensuring the correctness and efficiency of composition for match fields as well as the associated actions is the fundamental requirement. Prior work however focuses only on the composition of match fields and assumes simple concatenation for action composition. We show in this paper that simple concatenation can result in incorrect behavior and inefficiency of packet processing. To address this issue, we formalize the action composition problem and propose two graph-based computation models to facilitate efficient composition of action lists. Our proposed approach has been integrated into the CoVisor code base and the evaluation results show its fitness for purpose."
450992300017,TECTONICS,Coseismic Slip Vectors of 24 August and 30 October 2016 Earthquakes in Central Italy: Oblique Slip and Regional Kinematic Implications,"After 24 August and 30 October 2016 central Italy earthquakes (Mw 6.0 and 6.5, respectively), photogrammetry and geodetic survey were performed at various sites along a 6-km-long portion of the rupturing Monte Vettore fault system, providing very high-resolution georeferenced 3-D point clouds and imagery of the 24 August rupture and a data set of bedrock fault scarp before/after the 30 October earthquake. The maximum coseismic displacement for both events occurs near Scoglio dell' Aquila with an average normal dip slip of 224 and 18 +/- 46 cm, respectively. Coseismic slip vectors and meter-scale corrugation axis are oriented N280 +/- 10 degrees on the similar to N140 degrees striking main Vettore fault involving oblique normal slip with a right-lateral component and N205 +/- 10 degrees on similar to N170 degrees fault strands implying oblique normal slip with a left-lateral component. We quantify the near-field coseismic displacements of the Monte Vettore fault for the 30 October event: the footwall has been translated horizontally by 42 +/- 2 cm toward the ENE and uplifted by 11 +/- 2 cm. The hangingwall has moved horizontally by 26 +/- 2 cm, toward the NW, in a direction parallel to the fault plane and subsided by 116 +/- 2 cm. The fault geometry and our determined surface coseismic slip vectors are mechanically compatible with a sigma 3 = N65 +/- 15 degrees. This stress regime is consistent with the 30 October 2016 focal mechanism and the relative motion between the Adriatic microplate and the Tyrrhenian coastal region. The 30 October surface rupture results from seismic slip at depth and thus has a tectonic origin. Plain Language Summary After 24 August and 30 October 2016 central Italy earthquakes, we acquire a very high-resolution data set of the effect of the fault at the surface before and after the 30 October earthquake. Those data sets allow quantifying the motion of each compartment on both side of the fault during the earthquake and the direction of this motion. The footwall has been translated horizontally by 42 +/- 2 cm toward the ENE and uplifted by 11 +/- 2 cm. The hangingwall has moved horizontally by 26 +/- 2 cm, toward the NW, and subsided by 116 +/- 2 cm. These results are consistent with the seismic data and suggest that surface ruptures observed are resulting from seismic slip at depth."
450974400001,JOURNAL OF PACIFIC RIM PSYCHOLOGY,Investigating the Relationship Between Perceived Community Safety and the Public's Attitudes Towards the Treatment of Youth Offenders in New Zealand,"While opinions on what should be done with youth offenders vary from person to person, perceived levels of safety and fear of crime have been linked to more punitive attitudes towards crime and punishment. Qualitative methods were employed to explore the attitudes and opinions of members of the New Zealand public with varying levels of community safety in respect to the treatment of youth offenders. Results indicate those who identified as lowest in levels of safety were more punitive in their opinions, though they also expressed a firm desire for progressive treatment options such as rehabilitation and taking preventative action. Those who felt the safest in their community were less likely to be punitive in their opinions towards youth offenders."
443233300034,JOURNAL OF PHYSIOLOGY-LONDON,Inter-cortical modulation from premotor to motor plasticity,"Primary motor cortex (M1) plasticity is known to be influenced by the excitability and prior activation history of M1 itself. However, little is known about how its plasticity is influenced by other areas of the brain. In the present study on humans of either sex who were known to respond to theta burst stimulation from previous studies, we found plasticity of M1 could be modulated by suppressing the premotor cortex with the theta burst form of repetitive transcranial magnetic stimulation. Motor plasticity was distorted and disappeared 30 min and 120 min, respectively, after premotor excitability was suppressed. Further evaluation revealed that such changes in motor plasticity were associated with impaired learning of a simple motor task. We postulate that the premotor cortex modulates the amount of plasticity within M1 through heterosynaptic metaplasticity, and that this may impact on learning of a simple motor task previously shown to be directly affected by M1 plasticity. The present results provide an insight into how the brain physiologically coordinates two different areas to bring them into a functional network. Furthermore, such concepts could be translated into therapeutic approaches for diseases with aberrant plasticity."
430684600029,CLINICAL INFECTIOUS DISEASES,Rigorous Clinical Trial Design in Public Health Emergencies Is Essential,"Randomized clinical trials are the most reliable approaches to evaluating the effects of new treatments and vaccines. During the 2014-2015 West African Ebola epidemic, many argued that such trials were neither ethical nor feasible in an environment of limited health infrastructure and severe disease with a high fatality rate. Consensus among the numerous organizations providing help to the affected areas was never achieved, resulting in fragmented collaboration, delayed study initiation, and ultimately failure to provide definitive evidence on the efficacy of treatments and vaccines. Randomized trials were in fact approved by local ethics boards and initiated, demonstrating that randomized trials, even in such difficult circumstances, are feasible. Improved planning and collaboration among research and humanitarian organizations, and affected communities, in the interepidemic periods are needed to ensure that questions regarding the efficacy of vaccines and treatments can be definitively answered during future public health emergencies."
443684400020,INTERNAL MEDICINE JOURNAL,Association of obstructive sleep apnoea with acute severity of chronic obstructive pulmonary disease exacerbation: a population-based study,Little is known about the association of obstructive sleep apnoea (OSA) with the severity of acute exacerbation of chronic obstructive pulmonary disease (AECOPD). This retrospective cohort study investigated the association of coexistent OSA with acute severity markers (i.e. invasive positive pressure ventilation (IPPV) use and hospital length of stay (LOS)) among adults hospitalised for AECOPD. Patients with coexistent OSA had a significantly higher risk of IPPV use and prolonged hospital LOS compared to those without OSA.
447190700002,EARLY MEDIEVAL CHINA,"Miracle Tales as Scripture Reception: A Case Study Involving the Lotus Sutra in China, 370-750 CE","Reception theory argues that meaning resides not in texts but in readers' encounters with them. What would it mean to take this notion seriously in limning the authority and power Buddhist sutras were regarded as possessing in pre-Song China? In addition to the usual suspects (commentaries and doctrinal discourses), we have copious quantities of texts belonging to a pair of genres that have not been sufficiently examined as evidence for how sutras were received there: so-called miracle tales and biographies. Using narratives concerning the Lotus Sutra as examples, this article is a preliminary inquiry into the modes of sutra reception these works provide evidence of and themselves constituted. Ultimately, many people of most social strata saw sutras not just as doctrine delivery devices but as living entities, powerful platforms for activating divine responses to earnest devotional action. In construing the sutras in this way, Chinese people were not misreading the sutras: instead, they were taking seriously the promises and self-statements made in them."
