SDG,ID,keyword
SDG 7,cc903d3721cc9f8c70ead0380caeb205,osmotic power
SDG 7,317b54ae3fbde1b014fb390d0c15f688,pellet fuel
SDG 7,2f0bf422b07637c25831fdcde7912f45,pellet stove
SDG 7,b1dd97b29c8c7bc357d0caa0c8bf1b7c,phase-out of fossil fuel vehicles
SDG 7,f3273aeae7e40dc094400340c806bc47,photobioreactor
SDG 7,3063829f220a1785ccc1e3131915c510,photovoltaic
SDG 7,551409496ef5a787c42d47e080df8f3d,photovoltaic power station
SDG 7,fd8615a7033437be12a699fa8a50de99,photovoltaic system
SDG 7,0b96a719d6f82f98e71c6ae2c3b140c2,plastic recycling
SDG 7,ccae6f23b1ad70909998b1c2ae8c4fd2,power consumption
SDG 7,61f394baa379209b9660c217808c505c,public schemes for energy efficient refurbishment
SDG 7,e2470651ae3f52f6e9835f2f26911af2,renewable electricity
SDG 7,bf05d1e7cf3f5bbc157846870a2d61f6,renewable energy
SDG 7,2880a0d0c5016ef93b99ff1e630633db,renewable fuels
SDG 7,baa31a2fdebe876e6929afde657a879e,renewable generation
SDG 7,33a050f266c17dc10a391e9fcdbceeff,renewable natural gas
SDG 7,aeb22c8bbdf91a0d1a59ab5afd0b88f4,renewable power
SDG 7,3446abd3991de6f564278fa294d7c777,renewable resources
SDG 7,a940a57e59e1fe4b2d0d1c0a1cf3cc28,renewable sources
SDG 7,99d191b6319ae062470dc76e76eda87d,reversed electrodialysis
SDG 7,ef7e96733a5da633e1195e281b2687f5,seaweed fuel
SDG 7,6b547aad0b69c3f1fb923897a4bb3993,smart grid
SDG 7,208e3055e18549b6a2c195cfda3c95d4,solar air conditioning
SDG 7,521ca0de9dc53b785278f1f59cd72a20,solar air heat
SDG 7,14c2bc4964d9505a9090ee963d75a26a,solar bus
SDG 7,d5482e1373a33c888f4cdde5124bfba8,solar car
SDG 7,d4d99668d3d794d2a0c633919294eb6d,solar cell
SDG 7,202bed23b7417d6ca99311987a4c87a9,solar charger
SDG 7,e91f2dff09cdda600c63a387df04438f,solar cooker
SDG 7,3e2434672935d760c2990330a830d90b,solar energy
SDG 7,6f8dda5affbdb1f3c21ee93108d850f1,solar panel
SDG 7,a5637bc3b3416636aa9fb20e860bc9aa,solar power
SDG 7,8e596ab0eb3a64b02f7121133c845b9e,solar roadway
SDG 7,9a4f5e8def88665b2da74de705ed0f0a,solar thermal collector
SDG 7,d9105a800d9cf2ce2e9928dde6840b50,solar updraft tower
SDG 7,7dbb3380ae41d435b14f846dda4ca2c9,solar vehicle
SDG 7,1d84eb58107c0cb1d52d4b71fd2b8bdd,solar water heating
SDG 7,0098759181ba4c8bab00c9c38857dcc6,solar-powered refrigerator
SDG 7,160b274239d3d1f8a09a16d985acdafa,sustainable aviation fuel
SDG 7,67ec630fb2eaa755808e5995582a743d,sustainable electronic
SDG 7,a0d9b99f75aef13ef55aa99a014bfa37,sustainable energy
SDG 7,81e8221fdd818337d3079c4a2333b8a1,sustainable power
SDG 7,f7a5a0f8477b18fe42608e3b0c8fdad8,sustainable transport
SDG 7,6810dd04c5f858cb5e37dfb1065fca5a,synthetic fuel
SDG 7,cbc93b7c3fef71e132f050b5366a1caf,technology upgrade
SDG 7,c6a269695319a97030def19150d019ab,thermal energy
SDG 7,d5246b19a3d877267f503bddbbf0b5d6,thermoelectric generator
SDG 7,4c318e5ba0db762d9dd601a204eb2ee8,thermophotonics
SDG 7,c6fd090dd4b9dfe84ce3881c68eef93e,thermophotovoltaic
SDG 7,5b910fd30e619ba667b10955dd102364,tidal energy
SDG 7,20689bc1129482cf3d8af4c78fce2c49,tidal stream generator
SDG 7,a64644651c7f4fc9eb5abfefd642bf46,tide mill
SDG 7,5f3a90c48d8309c6adec931591ddfc3b,vehicle-to-grid
SDG 7,97cc7792ec60df5ae05996e59257eef0,waste heat recovery unit
SDG 7,8a8f343f061923d01fba7502ffb499b1,water heat recycling
SDG 7,d884796b1ec0213397d774010b9a780f,wave energy
SDG 7,1ff577729e69057cac747f5ebe806c0e,wave power
SDG 7,19e61a1a23d6769a5a4d8daa0ee52273,wind energy
SDG 7,1bac32dd2ece12e4d0d0a942dd74a16a,wind farm
SDG 7,d79c674de853d3d71e451ce7fe3b0b13,wind farms
SDG 7,0d18cb4233755fd5adb544373ae7eefe,wind generation
SDG 7,ddd91768ba702817347c26dfbbf7ae0d,wind power
SDG 7,e38561e5e668595486d7356422ca6177,wind resource
SDG 7,0984077f5f3059587f5e9cf06e139560,windbelt
SDG 7,ee5ab9076c9e015488d7944a805ab1e5,windpump
SDG 7,82a4b428ed568079a689f2ae7d624206,wood energy
